LAMMPS data file via write_data, version 7 Aug 2019, timestep = 100

2800 atoms
2 atom types

-1.6911105626050912e-01 3.0404096194400772e+01 xlo xhi
-1.6838405671861034e-01 4.2399999999999999e+01 ylo yhi
-2.9796027887110965e-01 3.4432194762585752e+01 zlo zhi

Masses

1 55.847
2 15.9994

Atoms # charge

1 1 4.7536595123204711e-01 2.8704642519160610e+00 1.3646941678780278e+00 3.0182520138857210e+00 0 0 0
3 1 3.3173696197262093e-01 3.0311358590657573e+01 1.2871924102649936e+00 9.0255479151902052e-01 -1 0 0
4 1 6.2250633675962119e-01 1.2875728107502760e+00 4.2437259496696376e+00 1.9540724470402089e+00 0 0 0
7 2 -4.6723276576389078e-01 3.0378301293064208e+01 2.8811030411355039e+00 2.2106352193694598e+00 -1 0 0
8 2 -4.4194473772475412e-01 9.5852624354074556e-01 4.4618141401343250e+00 4.1054295729436259e+00 0 0 0
9 2 -4.2247075650877269e-01 2.9918966799852402e+00 3.0760900774587130e+00 1.9810908486292718e+00 0 0 0
11 2 -3.5061904989913001e-01 1.6730520594942544e+00 4.7458141389067094e+00 2.9912864782063904e-02 0 0 0
12 2 -3.7219052292269972e-01 4.0434214922586902e+00 4.7176744206900239e+00 1.4025346041679473e-02 0 0 0
61 2 -3.7756471457201635e-01 1.2546449849685675e+00 1.3347099179414652e+00 4.2109939515000709e+00 0 0 0
70 1 6.3344574999942471e-01 4.3362484490500659e+00 4.2545460684946361e+00 1.9189089468051774e+00 0 0 0
74 2 -4.1197378870149137e-01 4.5618370558638350e+00 4.2974437812873942e+00 3.8959188499236772e+00 0 0 0
143 2 -3.6451250865897755e-01 4.6202553923001659e+00 1.3660872803802651e+00 4.0730126671921107e+00 0 0 0
146 1 6.4899123319658591e-01 6.0707111529007589e+00 2.8799904940566181e+00 4.1594380134054809e+00 0 0 0
147 1 5.4912785865225022e-01 2.8743261166943079e+00 4.4669768857368313e+00 5.3120178916066267e+00 0 0 0
66 1 4.9466032644101243e-01 8.8938943358401978e+00 1.5082412305555808e+00 2.9751694348532585e+00 0 0 0
68 1 3.3281329489617684e-01 5.8817433733580771e+00 1.2596092344434251e+00 8.5117506900144002e-01 0 0 0
69 1 6.4606144160242973e-01 7.4989961793167561e+00 4.2682237181032843e+00 1.9270161401849126e+00 0 0 0
73 2 -4.2448275511422123e-01 5.9952615166451588e+00 2.9270017816075988e+00 2.2367401867985302e+00 0 0 0
75 2 -4.4252062901941452e-01 7.1653265941284383e+00 4.4103087721262293e+00 3.8371568022075135e+00 0 0 0
76 2 -4.1859384065338301e-01 8.9490751470717189e+00 2.9861547704361158e+00 1.8947946436947263e+00 0 0 0
